Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,state_name,location
2019-12-31,County,AL Alabama,AL Calhoun County 01015,9,Public Housing,2,,Calhoun County,01015,1090,91,987,99,3,15,2.2,2170,218,666,11036,5020,30,30,17,9,14,29,5,63,24,90,74,2,47,85,47,22,52,14,13,53,18,17,1,70,69,0,1,30,0,1,0,1,1,6,80,100,125,21,39,40,29,37,50,65,,,,,,AL,,,Alabama,"Calhoun County, Alabama"
2019-12-31,County,AL Alabama,AL Calhoun County 01015,9,Housing Choice Vouchers,3,,Calhoun County,01015,567,68,392,100,5,11,2.3,900,322,460,13274,5782,11,28,26,18,18,34,1,63,29,92,59,1,51,94,51,34,59,19,3,58,19,21,2,83,83,-1,-1,17,-1,-1,-1,0,0,25,81,100,182,20,43,37,32,28,42,65,,,,,,AL,,,Alabama,"Calhoun County, Alabama"
2019-12-31,County,AL Alabama,AL Calhoun County 01015,9,Project Based Section 8,5,,Calhoun County,01015,466,95,464,100,6,18,1.6,720,282,548,12762,8224,7,34,29,18,12,17,3,80,30,92,58,2,23,79,24,45,26,24,4,27,16,53,6,47,45,-1,0,53,-1,1,0,1,1,-1,68,54,127,66,23,11,8,26,43,68,,,,,,AL,,,Alabama,"Calhoun County, Alabama"
2019-12-31,County,AL Alabama,AL Calhoun County 01015,9,202/PRAC,8,,Calhoun County,01015,92,99,92,100,7,17,1.0,94,300,394,13556,13268,1,28,37,27,7,-1,-1,100,34,95,40,-1,-1,73,-1,-1,2,2,-1,-1,-1,100,14,18,17,1,-1,82,-1,-1,-1,0,0,-1,71,-1,-1,100,-1,-1,-1,30,44,62,,,,,,AL,,,Alabama,"Calhoun County, Alabama"
2019-12-31,County,AL Alabama,AL Chambers County 01017,9,Public Housing,2,,Chambers County,01017,410,96,393,100,5,17,2.4,927,243,514,13618,5773,19,30,18,14,19,39,12,48,32,82,58,2,52,86,54,24,39,13,12,47,19,22,2,91,91,0,-1,9,-1,-1,-1,0,0,5,84,100,77,21,29,49,27,16,51,74,,,,,,AL,,,Alabama,"Chambers County, Alabama"
2019-12-31,County,AL Alabama,AL Chambers County 01017,9,Housing Choice Vouchers,3,,Chambers County,01017,144,84,119,99,4,8,2.5,294,336,510,15212,6157,13,29,19,14,25,27,1,72,35,84,53,-1,51,84,50,34,50,18,2,55,19,24,2,97,96,-1,-1,3,1,-1,-1,1,0,15,48,100,147,18,29,53,28,14,55,71,,,,,,AL,,,Alabama,"Chambers County, Alabama"
2019-12-31,County,AL Alabama,AL Chambers County 01017,9,Project Based Section 8,5,,Chambers County,01017,50,99,53,100,7,8,1.0,53,296,607,13319,13319,-1,25,42,32,2,-1,-1,100,38,92,28,-1,-1,77,-1,-1,-1,0,-1,-1,-1,100,15,13,11,2,-1,87,-1,-1,-1,0,2,-1,66,-1,-1,100,-1,-1,-1,11,21,90,,,,,,AL,,,Alabama,"Chambers County, Alabama"
2019-12-31,County,AL Alabama,AL Cherokee County 01019,9,Public Housing,2,,Cherokee County,01019,160,99,159,100,6,19,2.0,317,291,388,14311,7178,-1,38,30,16,16,31,-1,69,35,84,52,6,40,77,38,39,52,25,6,44,18,31,1,13,13,-1,-1,87,-1,1,-1,1,0,4,69,100,122,30,51,19,22,16,10,67,,,,,,AL,,,Alabama,"Cherokee County, Alabama"
2019-12-31,County,AL Alabama,AL Cherokee County 01019,9,Housing Choice Vouchers,3,,Cherokee County,01019,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,Alabama,"Cherokee County, Alabama"
2019-12-31,County,AL Alabama,AL Cherokee County 01019,9,Project Based Section 8,5,,Cherokee County,01019,50,83,37,89,7,22,1.0,38,262,550,11139,10846,-1,49,46,5,-1,-1,-1,100,31,100,59,-1,-1,70,-1,100,6,8,-1,-1,3,97,8,8,8,-1,-1,92,-1,-1,-1,0,0,-1,59,100,75,100,-1,-1,-1,14,9,74,,,,,,AL,,,Alabama,"Cherokee County, Alabama"
2019-12-31,County,AL Alabama,AL Chilton County 01021,9,Public Housing,2,,Chilton County,01021,178,98,174,99,6,11,2.0,350,264,415,13688,6805,13,37,26,9,16,29,-1,71,31,86,66,2,39,79,40,33,41,19,8,42,19,31,1,59,59,-1,-1,41,-1,-1,-1,0,0,5,74,100,132,42,28,30,17,20,26,68,,,,,,AL,,,Alabama,"Chilton County, Alabama"
2019-12-31,County,AL Alabama,AL Chilton County 01021,9,Housing Choice Vouchers,3,,Chilton County,01021,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,Alabama,"Chilton County, Alabama"
2019-12-31,County,AL Alabama,AL Chilton County 01021,9,Project Based Section 8,5,,Chilton County,01021,12,99,12,100,10,8,1.3,15,257,417,10701,8561,8,42,33,17,-1,-1,8,83,28,100,75,-1,8,58,8,80,71,60,8,-1,33,58,-1,33,33,-1,-1,42,-1,-1,-1,0,0,-1,46,17,130,92,-1,8,-1,20,19,62,,,,,,AL,,,Alabama,"Chilton County, Alabama"
2019-12-31,County,AL Alabama,AL Choctaw County 01023,9,Project Based Section 8,5,,Choctaw County,01023,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,Alabama,"Choctaw County, Alabama"
2019-12-31,County,AL Alabama,AL Clarke County 01025,9,Housing Choice Vouchers,3,,Clarke County,01025,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,Alabama,"Clarke County, Alabama"
2019-12-31,County,AL Alabama,AL Clarke County 01025,9,Project Based Section 8,5,,Clarke County,01025,90,85,76,100,6,13,2.3,173,154,712,6938,3048,53,22,18,4,3,17,-1,83,16,97,87,1,61,92,61,16,50,8,26,58,8,8,-1,99,97,-1,-1,1,-1,-1,1,1,0,-1,73,100,185,33,50,17,8,19,47,67,,,,,,AL,,,Alabama,"Clarke County, Alabama"
2019-12-31,County,AL Alabama,AL Clarke County 01025,9,811/PRAC,9,,Clarke County,01025,8,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,Alabama,"Clarke County, Alabama"
2019-12-31,County,AL Alabama,AL Clay County 01027,9,Public Housing,2,,Clay County,01027,146,96,140,100,5,35,2.3,318,252,439,15810,6960,16,28,14,18,24,39,1,59,38,74,54,3,50,84,51,17,35,11,16,50,16,19,1,51,46,-1,-1,49,-1,5,-1,5,1,4,68,100,65,21,29,49,26,12,26,75,,,,,,AL,,,Alabama,"Clay County, Alabama"
2019-12-31,County,AL Alabama,AL Clay County 01027,9,Housing Choice Vouchers,3,,Clay County,01027,8,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,Alabama,"Clay County, Alabama"
2019-12-31,County,AL Alabama,AL Clay County 01027,9,Project Based Section 8,5,,Clay County,01027,238,90,218,100,6,21,1.7,360,287,325,13208,7998,2,35,33,18,12,18,-1,81,34,88,48,1,25,72,25,44,43,29,6,28,22,45,3,39,32,-1,-1,58,1,5,0,6,0,-1,87,100,113,42,39,20,23,37,25,67,,,,,,AL,,,Alabama,"Clay County, Alabama"
2019-12-31,County,AL Alabama,AL Cleburne County 01029,9,Public Housing,2,,Cleburne County,01029,33,100,33,100,6,21,2.2,71,257,1287,11973,5565,18,33,21,15,12,21,-1,79,28,88,61,-1,48,82,48,28,25,20,6,39,30,24,6,24,18,-1,-1,76,3,3,-1,6,0,6,74,100,134,18,45,36,24,31,12,63,,,,,,AL,,,Alabama,"Cleburne County, Alabama"
2019-12-31,County,AL Alabama,AL Cleburne County 01029,9,Housing Choice Vouchers,3,,Cleburne County,01029,22,79,16,94,7,13,1.4,23,362,296,14324,9964,6,25,44,13,13,19,-1,81,35,94,38,-1,13,88,13,78,43,43,-1,19,38,44,13,31,31,-1,-1,69,-1,-1,-1,0,0,14,102,100,126,19,63,19,63,31,12,63,,,,,,AL,,,Alabama,"Cleburne County, Alabama"
2019-12-31,County,AL Alabama,AL Cleburne County 01029,9,Project Based Section 8,5,,Cleburne County,01029,64,98,65,100,6,18,1.7,113,241,623,10335,5945,5,45,27,18,5,8,-1,78,26,95,63,2,25,69,25,53,36,29,2,34,31,34,8,17,15,2,-1,83,-1,-1,-1,0,2,-1,56,100,97,66,11,23,2,31,12,63,,,,,,AL,,,Alabama,"Cleburne County, Alabama"
2019-12-31,County,AL Alabama,AL Coffee County 01031,9,Public Housing,2,,Coffee County,01031,334,96,321,100,5,20,2.1,671,282,447,15360,7348,14,26,22,12,25,37,2,58,29,86,65,5,36,84,39,31,45,19,10,43,20,27,1,72,69,-1,1,28,-1,2,-1,2,1,6,79,100,134,26,32,42,31,21,38,68,,,,,,AL,,,Alabama,"Coffee County, Alabama"
2019-12-31,County,AL Alabama,AL Coffee County 01031,9,Housing Choice Vouchers,3,,Coffee County,01031,317,79,251,100,5,20,2.1,518,307,359,12923,6262,12,30,23,17,17,34,0,64,24,97,71,3,41,85,43,33,36,18,5,49,20,27,1,66,59,-1,1,34,-1,6,0,6,0,7,53,100,156,17,49,34,37,23,40,64,,,,,,AL,,,Alabama,"Coffee County, Alabama"
2019-12-31,County,AL Alabama,AL Coffee County 01031,9,Project Based Section 8,5,,Coffee County,01031,162,94,160,100,6,29,1.9,301,230,519,9896,5260,18,34,24,12,12,27,1,62,19,98,82,5,37,76,41,29,10,13,23,37,15,25,1,68,64,1,-1,32,-1,-1,3,3,0,-1,57,78,105,45,31,24,13,23,45,59,,,,,,AL,,,Alabama,"Coffee County, Alabama"
2019-12-31,County,AL Alabama,AL Coffee County 01031,9,202/PRAC,8,,Coffee County,01031,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,Alabama,"Coffee County, Alabama"
2019-12-31,County,AL Alabama,AL Colbert County 01033,9,Public Housing,2,,Colbert County,01033,644,96,620,100,6,17,1.8,1115,255,490,12516,6960,7,42,26,10,15,22,5,70,26,91,71,1,33,75,33,40,47,25,8,37,25,30,1,48,47,0,-1,52,0,0,-1,0,1,7,87,94,153,42,30,29,23,29,43,68,,,,,,AL,,,Alabama,"Colbert County, Alabama"
2019-12-31,County,AL Alabama,AL Colbert County 01033,9,Housing Choice Vouchers,3,,Colbert County,01033,338,88,316,100,4,17,2.2,701,334,455,12779,5761,9,38,25,14,14,28,-1,69,25,95,76,1,43,86,44,47,70,26,1,56,24,19,1,66,65,-1,0,34,0,-1,-1,0,0,20,87,91,209,24,34,43,22,19,27,75,,,,,,AL,,,Alabama,"Colbert County, Alabama"
2019-12-31,County,AL Alabama,AL Colbert County 01033,9,Project Based Section 8,5,,Colbert County,01033,229,95,230,100,6,20,1.8,419,198,472,8953,4915,30,35,21,8,6,23,-1,75,19,99,82,2,45,78,45,32,81,21,17,52,18,13,-1,41,39,0,-1,56,0,1,-1,2,2,-1,54,100,87,39,47,14,13,15,22,77,,,,,,AL,,,Alabama,"Colbert County, Alabama"
2019-12-31,County,AL Alabama,AL Colbert County 01033,9,202/PRAC,8,,Colbert County,01033,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,Alabama,"Colbert County, Alabama"
2019-12-31,County,AL Alabama,AL Colbert County 01033,9,811/PRAC,9,,Colbert County,01033,14,90,14,100,5,21,1.1,16,247,397,10334,9042,-1,43,50,7,-1,7,-1,93,23,100,93,-1,-1,43,-1,50,50,44,-1,36,36,29,-1,36,36,-1,-1,57,-1,-1,-1,0,14,-1,42,-1,-1,100,-1,-1,-1,20,36,64,,,,,,AL,,,Alabama,"Colbert County, Alabama"
2019-12-31,County,AL Alabama,AL Conecuh County 01035,9,Public Housing,2,,Conecuh County,01035,90,97,87,100,5,5,2.4,211,276,472,14485,5973,15,27,21,13,24,32,1,66,34,79,53,5,48,94,52,32,79,19,5,54,20,22,3,99,98,-1,1,1,-1,-1,-1,0,0,1,113,100,107,-1,-1,100,60,28,57,64,,,,,,AL,,,Alabama,"Conecuh County, Alabama"
2019-12-31,County,AL Alabama,AL Conecuh County 01035,9,Housing Choice Vouchers,3,,Conecuh County,01035,133,84,110,98,5,18,2.5,277,237,370,10281,4083,28,29,20,14,8,34,1,65,24,95,70,1,65,88,66,24,88,12,14,65,15,7,-1,99,99,-1,-1,1,-1,-1,-1,0,1,3,64,100,133,8,45,46,29,27,55,62,,,,,,AL,,,Alabama,"Conecuh County, Alabama"
2019-12-31,County,AL Alabama,AL Conecuh County 01035,9,Project Based Section 8,5,,Conecuh County,01035,87,96,85,100,6,18,1.5,126,197,566,8626,5819,25,37,30,7,-1,7,-1,91,24,99,68,1,26,74,25,48,69,38,13,25,28,34,5,76,76,-1,-1,24,-1,-1,-1,0,0,-1,65,100,101,66,34,-1,8,27,51,59,,,,,,AL,,,Alabama,"Conecuh County, Alabama"
2019-12-31,County,AL Alabama,AL Conecuh County 01035,9,202/PRAC,8,,Conecuh County,01035,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,Alabama,"Conecuh County, Alabama"
2019-12-31,County,AL Alabama,AL Conecuh County 01035,9,811/PRAC,9,,Conecuh County,01035,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,Alabama,"Conecuh County, Alabama"
2019-12-31,County,AL Alabama,AL Coosa County 01037,9,Public Housing,2,,Coosa County,01037,40,100,40,100,7,15,2.1,83,231,441,10977,5290,32,24,18,8,18,30,8,58,28,88,63,3,43,75,43,26,67,17,8,53,25,15,-1,93,93,-1,-1,8,-1,-1,-1,0,0,11,76,100,15,35,25,40,28,23,60,65,,,,,,AL,,,Alabama,"Coosa County, Alabama"
2019-12-31,County,AL Alabama,AL Coosa County 01037,9,Housing Choice Vouchers,3,,Coosa County,01037,4,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,Alabama,"Coosa County, Alabama"
2019-12-31,County,AL Alabama,AL Coosa County 01037,9,Project Based Section 8,5,,Coosa County,01037,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,AL,,,Alabama,"Coosa County, Alabama"
2019-12-31,County,AL Alabama,AL Covington County 01039,9,Public Housing,2,,Covington County,01039,331,98,326,100,5,19,2.2,731,243,471,11994,5349,20,33,19,11,16,36,2,58,28,87,68,5,47,85,48,26,53,14,11,53,21,15,2,71,70,-1,-1,29,0,0,-1,1,0,5,81,63,119,16,49,36,27,26,34,74,,,,,,AL,,,Alabama,"Covington County, Alabama"
